Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Tid;Prøvetagningsnummer;Prøvenummer;Dybde (m);Prøvetagningsudstyr;Prøveredskabsareal (cm2);Prøvebemærkninger;Pprøvtagnings Breddegrad;Prøvetagnings Længdegrad;Provetagnings X_UTM;Proevetagnings Y_UTM;Artsrække;Artsnavn;Antal (stk);Biomasse vådvægt (g);Biomasse tørvægt (g);Askefri tørvægt (g);Kontrol;Kvalitet;Kvalitetsnote
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"5";"1";"58,3";"Haps";"143";"";"56,6682833333333";"12,1164333333333";"690960";"6284803";"Foraminifera";"Foraminifera";"2";"0,0007";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"6";"1";"59,8";"Haps";"143";"";"56,6684666666667";"12,1162";"690945";"6284822";"Annelida";"Goniada maculata";"1";"0,0089";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"6";"1";"59,8";"Haps";"143";"";"56,6684666666667";"12,1162";"690945";"6284822";"Mollusca";"Abra nitida";"2";"0,0019";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"6";"1";"59,8";"Haps";"143";"";"56,6684666666667";"12,1162";"690945";"6284822";"Annelida";"Maldane sarsi";"1";"0,0264";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"6";"1";"59,8";"Haps";"143";"";"56,6684666666667";"12,1162";"690945";"6284822";"Echinodermata";"Amphiura filiformis";"10";"0,1488";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"6";"1";"59,8";"Haps";"143";"";"56,6684666666667";"12,1162";"690945";"6284822";"Mollusca";"Hyala vitrea";"5";"0,0109";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"6";"1";"59,8";"Haps";"143";"";"56,6684666666667";"12,1162";"690945";"6284822";"Echinodermata";"Amphiura chiajei";"6";"0,2179";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"6";"1";"59,8";"Haps";"143";"";"56,6684666666667";"12,1162";"690945";"6284822";"Annelida";"Pholoe pallida";"2";"0,0045";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Annelida";"Polycirrus medusa";"1";"0,0516";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Annelida";"Diplocirrus glaucus";"1";"0,0014";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Annelida";"Maldanidae indet.";"1";"0,0092";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Echinodermata";"Amphiura filiformis";"6";"0,0446";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Annelida";"Pholoe baltica";"1";"0,0007";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Annelida";"Ophiodromus flexuosus";"1";"0,0042";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Mollusca";"Thyasira flexuosa";"1";"0,0107";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Mollusca";"Hyala vitrea";"14";"0,028";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Echinodermata";"Amphiura chiajei";"2";"0,1288";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Annelida";"Pholoe pallida";"1";"0,0014";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"7";"1";"61,9";"Haps";"143";"";"56,6686";"12,1159833333333";"690931";"6284837";"Mollusca";"Ennucula tenuis";"1";"0,0059";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Annelida";"Goniada maculata";"1";"0,0234";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Mollusca";"Cylichna cylindracea";"1";"0,0017";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Mollusca";"Abra nitida";"1";"0,0025";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Echinodermata";"Amphiura filiformis";"14";"0,1128";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Arthropoda";"Ampelisca diadema";"1";"0,0059";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Mollusca";"Chaetoderma nitidulum";"1";"0,0072";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Mollusca";"Thyasira flexuosa";"2";"0,0029";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Mollusca";"Hyala vitrea";"5";"0,0136";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Echinodermata";"Amphiura chiajei";"1";"0,0192";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Annelida";"Pholoe pallida";"2";"0,0013";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"8";"1";"64,6";"Haps";"143";"";"56,66855";"12,11575";"690917";"6284830";"Mollusca";"Kurtiella bidentata";"1";"0,0008";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Annelida";"Notomastus latericeus";"1";"0,006";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Annelida";"Brada villosa";"12";"0,2945";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Mollusca";"Cylichna cylindracea";"1";"0,0221";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Phoronida";"Phoronis sp.";"1";"0,003";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Mollusca";"Abra nitida";"1";"0,0004";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Echinodermata";"Amphiura filiformis";"8";"0,0819";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Annelida";"Pholoe baltica";"1";"0,0009";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Mollusca";"Thyasira flexuosa";"1";"0,0193";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Mollusca";"Hyala vitrea";"2";"0,0038";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Annelida";"Pholoe pallida";"1";"0,001";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"9";"1";"64,9";"Haps";"143";"";"56,6691";"12,1155";"690899";"6284891";"Mollusca";"Ennucula tenuis";"1";"0,0025";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Nemertini";"Nemertini indet.";"1";"0,038";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Echinodermata";"Ophiura sp.";"1";"0,0018";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Annelida";"Notomastus latericeus";"1";"0,0062";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Mollusca";"Cylichna cylindracea";"1";"0,027";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Annelida";"Maldane sarsi";"2";"0,1285";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Echinodermata";"Amphiura filiformis";"16";"0,1381";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Mollusca";"Thyasira flexuosa";"1";"0,0065";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Mollusca";"Hyala vitrea";"10";"0,0254";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Echinodermata";"Amphiura chiajei";"1";"0,0549";"";"";"C, Faglig kontrol";"Godkendt";""
"Hesselø Bugt, Vest, åbne del";"90000958";"413";"20230511";"1200";"10";"1";"64,1";"Haps";"143";"";"56,6693";"12,1153166666667";"690887";"6284913";"Annelida";"Pholoe pallida";"3";"0,0067";"";"";"C, Faglig kontrol";"Godkendt";""
"Aggersund";"90000961";"444";"20230227";"1200";"1";"1";"48,8";"Haps";"143";"";"55,0014333333333";"13,2986333333333";"774878";"6103404";"Mollusca";"Macoma balthica";"1";"0,0076";"";"";"C, Faglig kontrol";"Godkendt";"2024-01-18 10:53/Manual"
"Aggersund";"90000961";"444";"20230227";"1200";"1";"1";"48,8";"Haps";"143";"";"55,0014333333333";"13,2986333333333";"774878";"6103404";"Annelida";"Scoloplos armiger";"3";"0,0083";"";"";"C, Faglig kontrol";"Godkendt";"2024-01-18 10:53/Manual"
"Aggersund";"90000961";"444";"20230227";"1200";"2";"1";"48,2";"Haps";"143";"";"55,0008666666667";"13,2994833333333";"774936";"6103345";"Mollusca";"Macoma balthica";"2";"0,0053";"";"";"C, Faglig kontrol";"Godkendt";"2024-01-18 10:53/Manual"
"Aggersund";"90000961";"444";"20230227";"1200";"2";"1";"48,2";"Haps";"143";"";"55,0008666666667";"13,2994833333333";"774936";"6103345";"Annelida";"Nephtys hombergii";"1";"0,1951";"";"";"C, Faglig kontrol";"Godkendt";"2024-01-18 10:53/Manual"
"Aggersund";"90000961";"444";"20230227";"1200";"2";"1";"48,2";"Haps";"143";"";"55,0008666666667";"13,2994833333333";"774936";"6103345";"Annelida";"Scoloplos armiger";"2";"0,0054";"";"";"C, Faglig kontrol";"Godkendt";"2024-01-18 10:53/Manual"
"Aggersund";"90000961";"444";"20230227";"1200";"2";"1";"48,2";"Haps";"143";"";"55,0008666666667";"13,2994833333333";"774936";"6103345";"Arthropoda";"Diastylis rathkei";"1";"0,0153";"";"";"C, Faglig kontrol";"Godkendt";"2024-01-18 10:53/Manual"
